,doc_url,name,bulletin,topic,commission
44_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/710-Iniciativa-Convencional-Constituyente-de-la-cc-Gloria-Alvarado-sobre-Maritorio-01-02.pdf,"Iniciativa Convencional Constituyente que declara a Chile como un País Oceánico, define el maritorio y los espacios marinos y establece su gobernanza",Boletín 710-5,Maritorio,Comisión sobre Medio Ambiente
46_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/708-Iniciativa-Convencional-Constituyente-de-la-cc-Francisca-Arauna-sobre-Gestion-de-Residuos.pdf,Iniciativa Convencional Constituyente que establece los deberes del Estado y los Gobiernos Locales en la gestión de residuos,Boletín 708-5,Gestión de residuos,Comisión sobre Medio Ambiente
48_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/706-Iniciativa-Convencional-Constituyente-de-la-cc-Elsa-Labrana-sobre-Ministerio-Publico-01-02.pdf,Iniciativa Convencional Constituyente sobre estatuto Constitucional del Ministerio Público,Boletín 706-6, Ministerio Público,Comisión sobre Sistemas de Justicia
50_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/704-Iniciativa-Convencional-Constituyente-de-la-cc-Elsa-Labrana-sobre-Derecho-a-la-Comunicacion-01-02.pdf,"Iniciativa Convencional Constituyente que regula la libertad de emitir opinión y de prensa, el rol del Estado en relación con los medios de comunicación y el acceso al espectro radioeléctrico",Boletín 704-4,Libertad de opinión y de prensa,Comisiones de Derechos Fundamentales y de Sistemas de Conocimientos
41_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/713-Iniciativa-Convencional-Constituyente-de-la-cc-Lisette-Vergara-sobre-Economia.pdf,Iniciativa Convencional Constituyente sobre Modelo Económico,Boletín 713-5,Modelo Económico,Comisiones de Medio Ambiente y de Derechos Fundamentales
43_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/711-Iniciativa-Convencional-Constituyente-de-la-cc-Ingrid-Villena-sobre-Tricel.pdf,Iniciativa Convencional Constituyente sobre tribunales Electorales y Servicio Electoral,Boletín 711-6,Tribunales Electorales y Servicio Electoral ,Comisión sobre Sistemas de Justicia
45_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/709-Iniciativa-Convencional-Constituyente-de-la-cc-Gloria-Alvarado-sobre-Cooperativismo-01-02.pdf,Iniciativa Convencional Constituyente que reconoce el cooperativismo como un modelo de la economía social,Boletín 709-5,Cooperativismo ,Comisión sobre Medio Ambiente
47_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/707-Iniciativa-Convencional-Constituyente-de-la-cc-Elsa-Labrana-sobre-Trabajo-Voluntario-01-02.pdf,Iniciativa Convencional Constituyente que reconoce y ampara las acciones de voluntariado como mecanismo de participación ciudadana,Boletín 707-2,Voluntariado,Comisión sobre Principios Constitucionales
49_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/705-Iniciativa-Convencional-Constituyente-de-la-cc-Elsa-Labrana-sobre-Expresiones-Culturales-01-02.pdf,"Iniciativa Convencional Constituyente que reconoce la Cultura como derecho humano y establece el deber del Estado de asegurar su acceso, protección y promoción",Boletín 705-7,"Acceso, protección y promoción de la cultura",Comisión sobre Sistemas de Conocimientos
52_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/702-Iniciativa-Convencional-Constituyente-de-la-cc-Angelica-Tepper-sobre-Desarrollo-Economico.pdf,"Iniciativa Convencional Constituyente que establece como deber del Estado compatibilizar los objetivos de protección, conservación y restauración de la naturaleza y su biodiversidad para enfrentar la crisis climática",Boletín 702-7,Crisis climática,Comisión sobre Sistemas de Conocimientos
