,doc_url,name,bulletin,topic,commission
525_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/422-4-Iniciativa-Convencional-de-la-cc-Maria-Trinidad-Castillo-sobre-Reconocimiento-de-las-cooperativas-1319-26-01.pdf,"Iniciativa Convencional Constituyente que otorga reconocimiento a la función social, cultural, económica y productiva de las cooperativas, y promueve su desarrollo",Boletín 422-4,Reconocimiento cooperativas,Comisión de Derechos Fundamentales
527_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/420-7-Iniciativa-Convencional-del-cc-Francisco-Caamano-sobre-Derechos-de-Autor-1200-26-01.pdf,"Iniciativa Convencional Constituyente que garantiza la propiedad intelectual y protege el derecho de autor sobre obras literarias, artísticas, culturales o del conocimiento, sean en formato material o digital",Boletín 420-7,Derecho de autor,Comisión sobre Sistemas de Conocimientos
529_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/418-5-Iniciativa-Convencional-del-cc-Francisco-Caamano-sobre-Derecho-de-Acceso-a-la-Naturaleza.pdf,"Iniciativa Convencional Constituyente que reconoce el derecho de libre acceso a lugares, sitios o bienes naturales comunes o paisajísticos",Boletín 418-5,"Derecho a libre acceso a lugares, sitios o bienes naturales",Comisión sobre Medio Ambiente
540_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/415-5-Iniciativa-Convencional-del-cc-Bernardo-Fontaine-sobre-Medio-Ambiente-y-Desarrollo-sostenible.pdf,Iniciativa Convencional Constituyente que regula el derecho a un medio ambiente sano y desarrollo sostenible,Boletín 415-5,Medio Ambiente,Comisión sobre Medio Ambiente
531_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/416-7-Iniciativa-Convencional-del-cc-Francisco-Caamano-sobre-Proteccion-de-datos-de-caracter-personal.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la protección de los datos de carácter personal,Boletín 416-7,Protección datos personales,Comisión sobre Sistemas de Conocimientos
542_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/413-4-Iniciativa-Convencional-Constituyente-del-cc-Pollyana-Rivera-sobre-Derechos-de-NNA-1255-25-01.pdf,"Iniciativa Convencional Constituyente que reconoce y protege el derecho preferente de la familia de velar por una infancia e inocencia protegida de niños, niñas y adolescentes",Boletín 413-4,Derecho preferente de la familia,Comisión de Derechos Fundamentales
544_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/411-4-Iniciativa-Convencional-Constituyente-de-la-cc-Malucha-Pinto-sobre-Educacion-e-Inclusion-2359-24-01.pdf,Iniciativa Convencional Constituyente que regula el derecho a la educación a través de un sistema educativo de plena inclusión,Boletín 411-4,Educación inclusiva,Comisión de Derechos Fundamentales
546_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/409-6-Iniciativa-Convencional-Constituyente-de-la-cc-Ingrid-Villena-sobre-Defensoria-del-Pueblo-2239-24-01.pdf,Iniciativa Convencional Constituyente que crea la Defensoría del Pueblo,Boletín 409-6,Defensoría del Pueblo,Comisión sobre Sistemas de Justicia
548_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/407-4-Iniciativa-Convencional-Constituyente-de-la-cc-Tatiana-Urrutia-sobre-Libertad-de-Expresion-0041-17-01.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la libertad de expresión,Boletín 407-4,Derecho a libertad de expresión,Comisión de Derechos Fundamentales
550_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/405-1-Iniciativa-Convencional-Constituyente-del-cc-Martin-Arrau-sobre-Posesion-Presidencial-1946-24-01.pdf,Iniciativa Convencional Constituyente que regula la formalidad en el acto de investidura de Presidenta o Presidente de la República,Boletín 405-1,Investidura presidencial,Comisión sobre Sistema Político
541_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/414-5-Iniciativa-Convencional-del-cc-Bernardo-Fontaine-sobre-Estatuto-de-los-Minerales-1500-25-01.pdf,Iniciativa Convencional Constituyente que establece el Estatuto Constitucional de la Minería,Boletín 414-5,Minería,Comisión sobre Medio Ambiente
543_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/412-6-Iniciativa-Convencional-Constituyente-del-cc-Ivanna-Olivares-sobre-Banco-Central-1206-25-01.pdf,Iniciativa Convencional Constituyente sobre estatuto del Banco Central,Boletín 412-6,Banco Central,Comisión sobre Sistemas de Justicia
545_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/410-1-Iniciativa-Convencional-Constituyente-del-cc-Eduardo-Castillo-sobre-FFAA-1129-25-01.pdf,Iniciativa Convencional Constituyente establece el Estatuto de las Fuerzas Armadas,Boletín 410-1,Fuerzas Armadas,Comisión sobre Sistema Político
547_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/408-4-Iniciativa-Convencional-Constituyente-de-la-cc-Tatiana-Urrutia-sobre-Sufragio-0041-17-01.pdf,Iniciativa Convencional Constituyente que regula el derecho a sufragio y el derecho a postular a cargos de elección popular,Boletín 408-4,Derecho a sufragio,Comisión de Derechos Fundamentales
549_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/406-4-Iniciativa-Convencional-Constituyente-del-cc-Juan-Jose-Martin-sobre-Titularidad-de-los-DDFF-1949-24-01.pdf,Iniciativa Convencional Constituyente que otorga a las personas naturales y a la naturaleza titularidad respecto de los derechos fundamentales,Boletín 406-4,Titularidad derechos fundamentales,Comisión de Derechos Fundamentales
552_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/403-7-Iniciativa-Convencional-Constituyente-de-la-cc-Cristina-Dorador-sobre-Neurodivergencia-1931-24-01.pdf,"Iniciativa Convencional Constituyente sobre reconocimiento de la neurodiversidad y las personas neurodivergentes, protección y garantía de sus derechos",Boletín 403-7,Neurodiversidad,Comisión sobre Sistemas de Conocimientos
554_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/401-1-Iniciativa-Convencional-Constituyente-de-la-cc-Constanza-Hube-sobre-Partidos-Politicos-1905-24-01.pdf,Iniciativa Convencional Constituyente que establece el Estatuto constitucional de los Partidos Políticos,Boletín 401-1,Partidos Políticos,Comisión sobre Sistema Político
556_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/399-2-Iniciativa-Convencional-Constituyente-de-la-cc-Constanza-San-Juan-sobre-Democracia-Directa-1850-24-01.pdf,Iniciativa Convencional Constituyente que incorpora mecanismos de democracia directa,Boletín 399-2,Democracia directa,Comisión sobre Principios Constitucionales
558_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/397-3-Iniciativa-Convencional-Constituyente-del-cc-Cesar-Uribe-sobre-Gobiernos-Locales-1722-24-01.pdf,Iniciativa Convencional Constituyente que contiene disposiciones sobre gobierno local a cargo de la comuna autónoma,Boletín 397-3,Comuna autónoma,Comisión sobre Forma de Estado
560_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/395-4-Iniciativa-Convencional-Constituyente-del-cc-Cesar-Uribe-sobre-Derecho-al-territorio-y-a-la-ciudad155424-01.pdf,Iniciativa Convencional Constituyente que consagra el derecho al territorio y la ciudad,Boletín 395-4,Derecho al territorio y la ciudad,Comisión de Derechos Fundamentales
551_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/404-4-Iniciativa-Convencional-Constituyente-de-la-cc-Lidia-Gonzalez-sobre-Derechos-Linguisticos-1940-24-01.pdf,Iniciativa Convencional Constituyente que declara a Chile como un estado plurilingüe y otorga reconocimiento y protección a los derechos lingüísticos de los pueblos originarios,Boletín 404-4,Estado plurilingüe y derechos lingüísticos,Comisiones sobre Principios Constitucionales y Derechos Fundamentales
553_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/402-3-Iniciativa-Convencional-Constituyente-de-la-cc-Elisa-Giustinianovich-sobre-Territorios-Especiales-1906-24-01.pdf,Iniciativa Convencional Constituyente sobre regulación de los territorios especiales,Boletín 402-3,Territorios especiales,Comisión sobre Forma de Estado
555_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/400-1-Iniciativa-Convencional-Constituyente-de-la-cc-Constanza-Hube-sobre-Servicio-y-Registro-Electoral-1905-24-01.pdf,Iniciativa Convencional Constituyente sobre disposiciones relativas al Sistema y Servicio Electoral y de elecciones parlamentarias,Boletín 400-1,Servicio Electoral,Comisiones sobre Sistema Político y de Sistemas de Justicia
557_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/398-5-Iniciativa-Convencional-Constituyente-de-la-cc-Ivanna-Olivares-sobre-Banca-Publica-1823-24-01.pdf,Iniciativa Convencional Constituyente que crea el Sistema de Banca Pública,Boletín 398-5,Banca Pública,Comisión sobre Medio Ambiente
559_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/396-4-Iniciativa-Convencional-Constituyente-de-la-cc-Natalia-Henriquez-sobre-Derecho-a-la-salud1559-24-01.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la Salud,Boletín 396-4,Derecho a la salud,Comisión de Derechos Fundamentales
562_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/393-7-Iniciativa-Convencional-Constituyente-del-cc-Alfredo-Moreno-sobre-Patrimonio-Inmaterial-1455-24-01.pdf,Iniciativa Convencional Constituyente que dispone la protección y promoción del patrimonio cultural material e inmaterial del país,Boletín 393-7,Patrimonio cultural ,Comisión sobre Sistemas de Conocimientos
564_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/391-4-Iniciativa-Convencional-Constituyente-de-la-cc-Valentina-Miranda-sobre-Ninos-Ninas-y-Adolescentes-1440-24-01.pdf,"Iniciativa Convencional Constituyente sobre derechos fundamentales de niños, niñas y adolescentes",Boletín 391-4,"Derechos niños, niñas y adolescentes",Comisión de Derechos Fundamentales
566_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/389-1-Iniciativa-Convencional-Constituyente-de-la-cc-Tiare-Aguilera-sobre-Derecho-a-la-Alimentacion-1325-24-01.pdf,Iniciativa Convencional Constituyente sobre reconocimiento del Estado plurinacional y a la libre determinación de los pueblos,Boletín 389-1,Reconocimiento Estado plurinacional,Comisión sobre Sistema Político
568_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/387-4-Iniciativa-Convencional-Constituyente-de-la-cc-Francisca-Linconao-sobre-Derecho-a-la-Saud-1228-24-01.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la salud con pertinencia cultural,Boletín 387-4,Derecho a salud con pertinencia cultural,Comisión de Derechos Fundamentales
570_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/385-3-Iniciativa-Convencional-Constituyente-del-cc-Felipe-Mena-sobre-Municipalidades-1200-24-01.pdf,Iniciativa Convencional Constituyente sobre gobierno local,Boletín 385-3,Gobierno Local,Comisión sobre Forma de Estado
561_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/394-3-Iniciativa-Convencional-Constituyente-de-la-cc-Ramona-Reyes-sobre-Comuna-Autonoma-1525-24-01.pdf,Iniciativa Convencional Constituyente que regula el gobierno local a cargo de la comuna autónoma,Boletín 394-3,Comuna autónoma,Comisión sobre Forma de Estado
563_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/392-7-Iniciativa-Convencional-Constituyente-de-la-cc-Lorena-Cespedes-sobre-Derecho-a-la-creacion-1449-24-01.pdf,Iniciativa Convencional Constituyente sobre el derecho a la creación de conocimiento y su difusión,Boletín 392-7,Derecho a creación de conocimiento,Comisión sobre Sistemas de Conocimientos
565_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/390-5-Iniciativa-Convencional-Constituyente-de-la-cc-Isabel-Godoy-sobre-Estatuto-Constitucional-del-Agua-1431-24-01.pdf,Iniciativa Convencional Constituyente que consagra el Estatuto Constitucional del agua,Boletín 390-5,Estatuto Constitucional del agua,Comisión sobre Medio Ambiente
567_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/388-5-Iniciativa-Convencional-Constituyente-del-cc-Fernando-Tirado-sobre-Derecho-a-la-Alimentacion-1258-24-01.pdf,Iniciativa Convencional Constituyente que establece el derecho a la alimentación adecuada y la soberanía alimentaria de los pueblos,Boletín 388-5,Derecho a la alimentación,Comisión sobre Medio Ambiente
569_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/386-4-Iniciativa-Convencional-Constituyente-de-la-cc-Francisca-Linconao-sobre-Educacion-Intercultural-1228-24-01.pdf,Iniciativa Convencional Constituyente que consagra el derecho a una educación intercultural,Boletín 386-4,Derecho a educación intercultural,Comisión de Derechos Fundamentales
572_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/383-4-Iniciativa-Convencional-Constituyente-de-la-cc-Lorena-Cespedes-sobre-el-Derecho-a-la-Actividad-Fisica-1142-24-01.pdf,"Iniciativa Convencional Constituyente que consagra el derecho a la actividad física recreativa, a la práctica del deporte y la educación física",Boletín 383-4,Derecho a actividad física recreativa,Comisión de Derechos Fundamentales
574_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/381-4-Iniciativa-Convencional-Constituyente-del-cc-Bastian-Labbe-sobre-el-Derecho-a-la-seguridad-social1142-24-01.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la seguridad social,Boletín 381-4,Derecho a la seguridad social,Comisión de Derechos Fundamentales
576_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/379-4-Iniciativa-Convencional-Constituyente-del-cc-Bastian-Labbe-sobre-Derecho-a-la-salud-1141-21-01.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la salud,Boletín 379-4,Derecho a la Salud,Comisión de Derechos Fundamentales
578_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/377-2-Iniciativa-Convencional-Constituyente-del-cc-Alvin-Saldana-sobre-Mecanismos-de-Democracia-1045-hrs-24-01.pdf,Iniciativa Convencional Constituyente que incorpora mecanismos de democracia directa y otras normas,Boletín 377-2,Democracia Directa,"Comisiones de Principios Constitucionales, Forma de Estado, Derechos Fundamentales, Medio Ambiente y Sistemas de Justicia"
580_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/375-4-Iniciativa-Convencional-Constituyente-del-cc-Roberto-Celedon-sobre-Derechos-Civiles-y-Politicos-1150-hrs-24-01.pdf,"Iniciativa Convencional Constituyente que reconoce y regula diversos derechos fundamentales, en particular los civiles, políticos",Boletín 375-4,Derechos Fundamentales,Comisión de Derechos Fundamentales
571_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/384-3-Iniciativa-Convencional-Constituyente-del-cc-Felipe-Mena-sobre-Gobiernos-Regionales-1159-24-01.pdf,Iniciativa Convencional Constituyente sobre gobierno regional,Boletín 384-3,Gobierno Regional,Comisión sobre Forma de Estado
573_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/382-4-Iniciativa-Convencional-Constituyente-del-cc-Bastian-Labbe-sobre-el-Derecho-a-la-Libertad-Sindical-1142-24-01.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la negociación colectiva y a la huelga y la libertad sindical,Boletín 382-4,"Derecho a la negociación colectiva, huelga y libertad sindical",Comisión de Derechos Fundamentales
575_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/380-4-Iniciativa-Convencional-Constituyente-del-cc-Bastian-Labbe-sobre-el-Derecho-al-Trabajo1141-24-01.pdf,Iniciativa Convencional Constituyente que consagra y protege el derecho al trabajo y en particular el de los pueblos originarios,Boletín 380-4,Derecho al trabajo,Comisión de Derechos Fundamentales
577_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/378-2-Iniciativa-Convencional-Constituyente-del-cc-Alvin-Saldana-sobre-Integracion-de-DDHH-1046-hrs-24-01.pdf,Iniciativa Convencional Constituyente que dispone la integración de las fuentes internacionales de los derechos humanos y otros derechos fundamentales,Boletín 378-2,Fuentes internacionales Derechos Humanos,Comisión sobre Principios Constitucionales
579_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/376-4-Iniciativa-Convencional-Constituyente-de-la-cc-Janis-Meneses-sobre-Educacion-sexual-integral-1040-hrs-24-01.pdf,Iniciativa Convencional Constituyente que consagra el derecho a una educación sexual integral,Boletín 376-4,Derecho educación sexual,Comisión de Derechos Fundamentales
582_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/373-4-Iniciativa-Convencional-Constituyente-del-cc-Carlos-Calvo-sobre-Derecho-a-la-Educacion-0900-hrs-24-01.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la educación,Boletín 373-4,Derecho a la educación,Comisión de Derechos Fundamentales
584_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/371-4-Iniciativa-Convencional-Constituyente-de-la-cc-Constanza-San-Juan-sobre-Defensores-de-DDHH-0900-hrs-24-01.pdf,Iniciativa Convencional Constituyente que establece un Estatuto de protección integral de las personas defensoras de los derechos humanos y de la naturaleza,Boletín 371-4,Derechos humanos y de la naturaleza,Comisión de Derechos Fundamentales
586_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/369-4-Iniciativa-Convencional-Constituyente-de-la-cc-Loreto-Vallejos-sobre-Derecho-a-la-Educacion-0900-hrs-24-01.pdf,"Iniciativa Convencional Constituyente que establece regulación integral de la educación pública, con respeto a la libertad de aprendizaje y enseñanza",Boletín 369-4,"Educación pública, libertad de enseñanza y aprendizaje",Comisión de Derechos Fundamentales
588_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/367-2-Iniciativa-Convencional-Constituyente-del-cc-Eduardo-Castillo-sobre-Ciudadania-y-Migracion-0900-hrs-24-01.pdf,"Iniciativa Convencional Constituyente que incorpora la regulación de la nacionalidad, ciudadanía y migración",Boletín  367-2,"Nacionalidad, ciudadanía y migración",Comisión de Principios Constitucionales
590_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/365-5-Iniciativa-Convencional-Constituyente-del-cc-Harry-Jurgensen-sobre-Seguridad-Alimentaria-1851-hrs-21-01.pdf,Iniciativa Convencional Constituyente que exige al Estado velar por la seguridad alimentaria y satisfacción de las necesidades alimenticias para el consumo humano,Boletín 365-5,Seguridad Alimentaria,Comisión sobre Medio Ambiente
581_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/374-2-Iniciativa-Convencional-Constituyente-de-la-cc-Loreto-Vallejos-sobre-Democracia-Directa-0900-hrs-24-01.pdf,Iniciativa Convencional Constituyente que incorpora diversos mecanismos de Democracia Directa,Boletín 374-2,Democracia directa,Comisión sobre Principios Constitucionales
583_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/372-4-Iniciativa-Convencional-Constituyente-del-cc-Roberto-Celedon-sobre-Derecho-a-la-Seguridad-Social-0900-hrs-24-01.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la seguridad social,Boletín 372-4,Derecho a la Seguridad Social,Comisión de Derechos Fundamentales
585_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/370-4-Iniciativa-Convencional-Constituyente-de-la-cc-Constanza-San-Juan-sobre-Justicia-Transicional-0900-hrs-24-01.pdf,"Iniciativa Convencional Constituyente que desarrolla el derecho a la verdad histórica, la justicia y reparación a las víctimas de violaciones de los derechos humanos y crea el Consejo de Verdad, reparación y garantías de no repetición",Boletín 370-4,Derecho a Verdad histórica,Comisiones de Derechos Fundamentales y de Sistemas de Justicia
587_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/368-7-Iniciativa-Convencional-Constituyente-del-cc-Francisco-Caamano-sobre-los-conocimientos-0900-hrs-24-01.pdf,Iniciativa Convencional Constituyente que promueve el derecho a la democratización de todo tipo de conocimiento,Boletín 368-7,Derecho a democratización del conocimiento,Comisión sobre Sistemas de Conocimientos
589_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/366-4-Iniciativa-Convencional-Constituyente-del-cc-Marco-Arellano-sobre-Derechos-Linguisticos-2232-hrs-21-01.pdf,Iniciativa Convencional Constituyente que establece un estatuto de protección integral y en todo ámbito de las personas sordas en Chile,Boletín 366-4,Estatuto protección personas sordas,Comisión de Derechos Fundamentales
592_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/363-4-Iniciativa-Convencional-Constituyente-de-la-cc-Janis-Meneses-sobre-Derecho-a-la-Educacion-Publica-1844-hrs-21-01.pdf,"Iniciativa Convencional Constituyente que establece un Sistema de Educación Pública estatal-comunitaria, basado en la libertad de enseñanza y aprendizaje",Boletín 363-4 ,Sistema Educación Pública,Comisión de Derechos Fundamentales
594_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/359-4-Iniciativa-Convencional-Constituyente-del-cc-Carlos-Calvo-sobre-Derecho-a-la-Educacion-1809-hrs-21-01.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la educación,Boletín 359-4,Derecho a la educación,Comisión de Derechos Fundamentales
596_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/357-4-Iniciativa-Convencional-Constituyente-de-la-cc-Amaya-Alvez-sobre-minimo-vital-1254-hrs-21-01.pdf,Iniciativa Convencional Constituyente que consagra el derecho al mínimo vital y al ingreso básico universal,Boletín 357-4 ,Ingreso básico universal,Comisión de Derechos Fundamentales
598_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/355-4-Iniciativa-Convencional-Constituyente-de-la-cc-Mariela-Serey-sobre-Derecho-al-Cuidado-1200-21-01.pdf,Iniciativa Convencional Constituyente que consagra el derecho al cuidado y otorga reconocimiento al trabajo doméstico y de cuidados,Boletín 355-3,Derecho al cuidado,Comisión de Derechos Fundamentales
600_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/353-1-Iniciativa-Convencional-Constituyente-del-cc-Jaime-Bassa-sobre-Sistema-de-Gobierno-1158-21-01.pdf,Iniciativa Convencional Constituyente sobre Sistema de Gobierno y estructura del Poder Ejecutivo,Boletín 353-1,Sistema de gobierno,Comisión sobre Sistema Político
591_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/364-5-Iniciativa-Convencional-Constituyente-del-cc-Harry-Jurgensen-sobre-Ruralidad-1850-hrs-21-01.pdf,Iniciativa Convencional Constituyente que promueve el desarrollo rural y actividades propias de la ruralidad,Boletín 364-5,Desarrollo Rural,Comisión sobre Medio Ambiente
593_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/362-2-Iniciativa-Convencional-Constituyente-de-la-cc-Janis-Meneses-sobre-Derechos-Laborales-1836-hrs-21-01.pdf,Iniciativa Convencional Constituyente sobre protección integral al trabajo y las garantías constitucionales asociadas,Boletín 362-2,Protección al trabko,Comisiones de Principios Constitucionales y de Derechos Fundamentales
595_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/358-4-Iniciativa-Convencional-Constituyente-del-cc-Eduardo-Castillo-sobre-derecho-a-la-Seguridad-Social-1425-hrs-21-01.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la seguridad social,Boletín 358-4,Derecho a la Seguridad Social,Comisión de Derechos Fundamentales
597_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/356-5-Iniciativa-Convencional-Constituyente-del-cc-Carlos-Calvo-sobre-Proteccion-de-los-Cielos-1201-21-01.pdf,"Iniciativa Convencional Constituyente sobre resguardo del cielo nocturno oscuro, sin contaminación lumínica",Boletín 356-5,Resguardo cielo oscuro,Comisión sobre Medio Ambiente
599_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/354-4-Iniciativa-Convencional-Constituyente-del-cc-Miguel-Angel-Botto-sobre-Derecho-a-la-Maternidad-1120-21-01.pdf,Iniciativa Convencional Constituyente que dispone la protección del embarazo y la maternidad y reconoce el ejercicio de la labor parental,Boletín 354-4,Protección del Embarazo y maternidad,Comisión de Derechos Fundamentales
602_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/351-4-Iniciativa-Convencional-Constituyente-de-la-cc-Ruth-Hurtado-sobre-Libertad-de-Ensenanza170020-01.pdf,Iniciativa Convencional Constituyente que consagra y ampara la libertad de enseñanza,Boletín 351-4,Libertad de Enseñanza,Comisión de Derechos Fundamentales
604_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/347-3-Iniciativa-Convencional-Constituyente-del-cc-Ruth-Hurtado-sobre-Inhabilidades-para-ejercer-cargos-publicos.pdf,Iniciativa Convencional Constituyente que establece inhabilidades para el ingreso a cargos de administración pública,Boletín 347-3,Administración pública,Comisión sobre Forma de Estado
606_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/345-4-Iniciativa-Convencional-Constituyente-de-la-cc-Alejandra-Flores-sobre-Derecho-a-la-Alimentacion.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la alimentación,Boletín 345-4,Derecho a la alimentación,Comisión de Derechos Fundamentales
608_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/343-4-Iniciativa-Convencional-Constituyente-del-cc-Manuel-Jose-Ossandon-sobre-Derecho-a-la-Educacion.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la educación,Boletín 343-4,Derecho a la educación,Comisión sobre Derechos Fundamentales
610_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/341-3-Iniciativa-Convencional-Constituyente-de-la-cc-Pollyana-Rivera-sobre-Zonas-Especiales.pdf,Iniciativa Convencional Constituyente que otorga el estatuto de territorio especial a las zonas geográficas que indica,Boletín 341-3,Territorio especial,Comisión sobre Forma de Estado
601_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/352-5-Iniciativa-Convencional-Constituyente-de-la-cc-Ruth-Hurtado-sobre-Naturaleza-Y-Medio-Ambiente.170120-01.pdf,"Iniciativa Convencional Constituyente que establece los derechos de la naturaleza, el medio ambiente y los animales, establece los deberes patrios y culturales y determina el idioma oficial",Boletín 352-5,"Derechos de la naturaleza, deberes patrio e idioma oficial",Comisiones sobre Medio Ambiente y de Principios Constitucionales
603_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/349-6-Iniciativa-Convencional-Constituyente-del-cc-Luis-Mayol-sobre-Banco-Central-1826-20-01.pdf,Iniciativa Convencional Constituyente que establece el estatuto constitucional del Banco Central,Boletín 349-6,Banco Central,Comisión sobre Sistemas de Justicia
605_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/346-4-Iniciativa-Convencional-Constituyente-de-la-cc-Ruth-Hurtado-sobre-Libertad-de-Credo.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la libertad religiosa y su ejercicio,Boletín 346-4,Derecho a la libertad religiosa,Comisión de Derechos Fundamentales
607_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/344-3-Iniciativa-Convencional-Constituyente-del-cc-Hernan-Larrain-sobre-Reforma-Administrativa-y-Modernizacion-del-Estado.pdf,Iniciativa Convencional Constituyente sobre reforma de la administración pública y modernización del Estado,Boletín 344-3,Administración Pública,Comisión sobre Forma de Estado
609_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/342-4-Iniciativa-Convencional-Constituyente-del-cc-Jorge-Baradit-sobre-Derechos-de-las-Personas-Mayores.pdf,Iniciativa Convencional Constituyente que establece el estatuto de Derechos de las personas mayores,Boletín 342-4,Personas Mayores,Comisión de Derechos Fundamentales
